ReviewID,Case Master ID,Case Date,Reviewer_1,Reviewer_1_Time,Reviewer_2,Reviewer_2_Time,Secondary: Source is clear,Correct assessment?,Translation accuracy,Source has multiple meanings,Source is clear,Source contains contradictions
1,1,09/01/2023,reviewer_26,467854,reviewer_16,43999,5. Completely easily understood and well written,Yes,Missing information,No,5. Completely easily understood and well written,No
2,2,09/01/2023,reviewer_11,574764,reviewer_22,515891,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
3,3,09/01/2023,reviewer_11,1931230,reviewer_22,916745,4. Mostly clear and easy to read,Yes,Added information,No,3. Needs rereading to understand,No
4,4,09/01/2023,reviewer_7,295922,reviewer_24,160707,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
5,5,09/01/2023,reviewer_26,242588,reviewer_10,222483,5. Completely easily understood and well written,No,Missing information,No,5. Completely easily understood and well written,No
6,6,09/01/2023,reviewer_16,138285,reviewer_26,556339,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
7,7,09/01/2023,reviewer_26,1802580,reviewer_29,469639,4. Mostly clear and easy to read,Yes,Added information,No,3. Needs rereading to understand,No
8,8,09/01/2023,reviewer_16,258927,reviewer_29,743302,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
9,9,09/01/2023,reviewer_24,192695,reviewer_11,628620,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
10,10,09/01/2023,reviewer_29,666689,reviewer_22,523858,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
11,11,09/01/2023,reviewer_24,147184,reviewer_11,128912,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
12,12,09/01/2023,reviewer_7,115077,reviewer_26,249725,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
13,13,09/01/2023,reviewer_19,1866112,reviewer_22,1161234,3. Needs rereading to understand,Yes,Added information,No,3. Needs rereading to understand,No
14,14,09/01/2023,reviewer_24,765557,reviewer_10,201155,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
15,15,09/01/2023,reviewer_10,317491,reviewer_29,171331,5. Completely easily understood and well written,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
16,16,09/01/2023,reviewer_29,187230,reviewer_22,505013,5. Completely easily understood and well written,Yes,Missing information,No,5. Completely easily understood and well written,No
17,17,09/01/2023,reviewer_14,1105051,reviewer_24,227439,5. Completely easily understood and well written,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
18,18,09/01/2023,reviewer_14,1231661,reviewer_23,512153,5. Completely easily understood and well written,No,Added information,No,4. Mostly clear and easy to read,No
19,19,09/01/2023,reviewer_24,384793,reviewer_14,1404118,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
20,20,09/01/2023,reviewer_10,527408,reviewer_11,925143,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
21,21,09/01/2023,reviewer_14,1147823,reviewer_7,207311,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
22,22,09/01/2023,reviewer_10,428306,reviewer_16,93300,5. Completely easily understood and well written,Yes,Both missing and added information,No,5. Completely easily understood and well written,No
23,23,09/01/2023,reviewer_14,1098735,reviewer_29,467275,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
24,24,09/01/2023,reviewer_29,631558,reviewer_7,297776,5. Completely easily understood and well written,No,Added information,No,4. Mostly clear and easy to read,No
25,25,09/01/2023,reviewer_14,948215,reviewer_26,312194,4. Mostly clear and easy to read,Yes,Missing information,No,4. Mostly clear and easy to read,No
26,26,09/01/2023,reviewer_24,386843,reviewer_16,80262,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
27,27,09/01/2023,reviewer_26,733440,reviewer_7,382310,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
28,28,09/01/2023,reviewer_26,357414,reviewer_10,197662,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
29,29,09/01/2023,reviewer_24,185731,reviewer_26,97515,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
30,30,09/01/2023,reviewer_11,642413,reviewer_26,286205,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,3. Needs rereading to understand,No
31,31,09/01/2023,reviewer_16,51665,reviewer_19,443523,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
32,32,09/01/2023,reviewer_23,1272471,reviewer_26,510899,3. Needs rereading to understand,No,Both missing and added information,No,3. Needs rereading to understand,No
33,33,09/01/2023,reviewer_14,2042526,reviewer_29,569863,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
34,34,09/01/2023,reviewer_26,838646,reviewer_7,326428,4. Mostly clear and easy to read,No,Both missing and added information,No,3. Needs rereading to understand,No
35,35,09/01/2023,reviewer_11,406838,reviewer_16,609386,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
36,36,09/01/2023,reviewer_24,523038,reviewer_11,307347,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
37,37,09/01/2023,reviewer_24,322903,reviewer_10,118702,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
38,38,09/01/2023,reviewer_26,280087,reviewer_10,138593,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
39,39,09/01/2023,reviewer_11,596761,reviewer_10,290079,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
40,40,09/01/2023,reviewer_23,1274788,reviewer_16,137042,4. Mostly clear and easy to read,No,Both missing and added information,No,2. Difficult to understand,No
41,41,09/01/2023,reviewer_26,406317,reviewer_11,141586,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
42,42,09/01/2023,reviewer_19,920743,reviewer_24,193600,5. Completely easily understood and well written,Yes,Both missing and added information,No,5. Completely easily understood and well written,No
43,43,09/01/2023,reviewer_23,601898,reviewer_19,228849,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
44,44,09/01/2023,reviewer_10,336885,reviewer_19,363242,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
45,45,09/01/2023,reviewer_11,143235,reviewer_22,468788,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
46,46,09/01/2023,reviewer_10,472208,reviewer_23,965199,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
47,47,09/01/2023,reviewer_26,685204,reviewer_24,77186,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
48,48,09/01/2023,reviewer_26,1445187,reviewer_16,104592,3. Needs rereading to understand,Yes,Added information,No,3. Needs rereading to understand,No
49,49,09/01/2023,reviewer_16,76722,reviewer_10,176684,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
50,50,09/01/2023,reviewer_26,319899,reviewer_22,806607,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
51,51,09/01/2023,reviewer_16,202734,reviewer_26,692225,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
52,52,09/01/2023,reviewer_11,1369195,reviewer_16,74124,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
53,53,09/01/2023,reviewer_14,3295678,reviewer_16,220458,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
54,54,09/01/2023,reviewer_16,92224,reviewer_7,112079,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
55,55,09/01/2023,reviewer_19,646773,reviewer_22,481532,4. Mostly clear and easy to read,Yes,Both missing and added information,No,5. Completely easily understood and well written,No
56,56,09/01/2023,reviewer_16,250580,reviewer_24,630014,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
57,57,09/01/2023,reviewer_11,534338,reviewer_24,117681,5. Completely easily understood and well written,Yes,Added information,No,4. Mostly clear and easy to read,No
58,58,09/01/2023,reviewer_29,400478,reviewer_26,263163,5. Completely easily understood and well written,Yes,Added information,No,4. Mostly clear and easy to read,No
59,59,09/01/2023,reviewer_7,774090,reviewer_22,502456,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
60,60,09/01/2023,reviewer_7,189179,reviewer_2,78892,5. Completely easily understood and well written,Yes,Missing information,No,4. Mostly clear and easy to read,No
61,61,09/01/2023,reviewer_16,80390,reviewer_29,2378483,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
62,62,09/01/2023,reviewer_14,3302153,reviewer_19,453961,4. Mostly clear and easy to read,No,Missing information,No,4. Mostly clear and easy to read,No
63,63,09/01/2023,reviewer_14,1444769,reviewer_29,156573,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
64,64,09/01/2023,reviewer_22,2052754,reviewer_16,103691,4. Mostly clear and easy to read,Yes,Both missing and added information,Yes,4. Mostly clear and easy to read,No
65,65,09/01/2023,reviewer_23,564264,reviewer_16,201041,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
66,66,09/01/2023,reviewer_14,34333,reviewer_24,511038,3. Needs rereading to understand,No,Both missing and added information,No,2. Difficult to understand,No
67,67,09/01/2023,reviewer_10,604484,reviewer_29,370223,4. Mostly clear and easy to read,Yes,Added information,No,2. Difficult to understand,No
68,68,09/01/2023,reviewer_29,321043,reviewer_26,799523,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
69,69,09/01/2023,reviewer_7,813154,reviewer_14,181576,3. Needs rereading to understand,Yes,Added information,No,4. Mostly clear and easy to read,No
